,date,^BSESN,INFY.BO,RELIANCE.BO,HDFCBANK.BO,AXISBANK.BO,BHARTIARTL.BO,ICICIBANK.BO,VEDL.BO,CIPLA.BO,BAJAJ-AUTO.BO,NESTLEIND.BO,TITAN.BO,IDBI.BO,TVSMOTOR.BO,BOSCHLTD.BO,GAIL.BO,YESBANK.BO,VOLTAS.BO,MARICO.BO,UNIONBANK.BO,BERGEPAINT.BO
99,2018-05-28,35074.320313,614.150024,923.549988,1007.5,542.25,346.085876,294.149994,253.0,536.5,2786.300049,9711.0,924.0,65.199997,570.0,17703.400391,160.524994,342.0,546.0,320.0,89.900002,297.549988
100,2018-05-29,35213.140625,610.0,920.049988,1021.150024,546.5,345.213776,299.0,242.0,541.5,2822.0,9631.0,922.0,65.5,584.0,18144.650391,167.475006,346.149994,559.650024,322.200012,93.699997,304.799988
101,2018-05-30,34876.128906,608.349976,914.0,1015.0,545.0,347.003876,287.0,247.149994,531.900024,2810.0,9494.049805,914.900024,65.5,599.0,18550.0,171.574997,337.399994,540.0,319.5,88.699997,303.0
102,2018-05-31,35083.808594,608.5,919.349976,1050.025024,543.0,343.331879,284.100006,250.149994,528.799988,2775.0,9550.0,916.549988,65.0,604.0,18650.0,172.5,345.5,552.0,318.5,90.099998,301.0
103,2018-06-01,35373.980469,615.950012,921.299988,1062.0,545.0,347.416992,291.049988,247.649994,531.950012,2777.0,9669.0,906.5,67.0,591.0,18275.0,175.0,348.0,534.0,324.5,90.5,297.149994
104,2018-06-04,35503.238281,610.0,934.799988,1077.099976,540.0,352.55777,293.75,248.949997,529.5,2929.0,9950.0,902.0,64.449997,600.0,18322.0,172.475006,347.0,539.75,326.0,89.75,290.799988
105,2018-06-05,35029.449219,612.549988,941.25,1025.0,536.0,342.413879,287.5,245.25,525.0,2890.0,9810.0,881.5,61.200001,566.5,18144.699219,168.475006,343.0,533.0,323.649994,87.699997,287.0
106,2018-06-06,34932.488281,610.599976,948.900024,1029.5,530.0,331.397888,284.799988,245.25,542.0,2860.899902,9545.200195,856.0,58.799999,568.799988,17911.599609,166.5,338.100006,510.0,325.5,86.849998,280.600006
107,2018-06-07,35278.378906,619.0,955.0,1032.5,533.0,348.793976,287.399994,248.100006,540.0,2908.899902,9781.400391,900.0,57.75,572.0,18784.199219,165.0,341.5,530.0,336.450012,91.449997,285.0
108,2018-06-08,35406.46875,624.950012,968.900024,1025.275024,542.0,345.902283,292.0,246.949997,540.099976,2888.0,9814.0,888.549988,61.299999,579.900024,18491.699219,168.0,339.600006,522.650024,333.0,92.0,292.399994
